id,official_ems_damage_gra,vlm_damage_class,confidence,action_priority,post_event_chip,google_maps_url
ems_00011,Damaged,possible_major_damage,0.65,urgent_review,/data/chips/emsr884-aoi06-moron/ems_00011_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.474521034444443,-68.21126669777779"
ems_00012,Damaged,uncertain_imagery_problem,0.25,review,/data/chips/emsr884-aoi06-moron/ems_00012_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.474278510789473,-68.20803736578948"
ems_00013,Possibly damaged,minor_visible_damage,0.45,review,/data/chips/emsr884-aoi06-moron/ems_00013_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.474491741538461,-68.23004430076922"
ems_00014,Damaged,possible_major_damage,0.45,review,/data/chips/emsr884-aoi06-moron/ems_00014_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.47511327,-68.22555805142858"
ems_00015,Possibly damaged,minor_visible_damage,0.45,review,/data/chips/emsr884-aoi06-moron/ems_00015_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.47540098375,-68.20703131375"
ems_00016,Destroyed,possible_major_damage,0.45,review,/data/chips/emsr884-aoi06-moron/ems_00016_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.47542832,-68.21234170833334"
ems_00017,Possibly damaged,possible_major_damage,0.45,review,/data/chips/emsr884-aoi06-moron/ems_00017_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.475536883357142,-68.23528540521428"
ems_00018,Possibly damaged,possible_major_damage,0.45,review,/data/chips/emsr884-aoi06-moron/ems_00018_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.475151633535353,-68.2071034980808"
ems_00019,Possibly damaged,uncertain_imagery_problem,0.3,review,/data/chips/emsr884-aoi06-moron/ems_00019_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.475963932500001,-68.20341450250001"
ems_00020,Possibly damaged,uncertain_imagery_problem,0.4,review,/data/chips/emsr884-aoi06-moron/ems_00020_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.47660444925926,-68.23034512968255"
ems_00021,Damaged,uncertain_imagery_problem,low,urgent_review,/data/chips/emsr884-aoi06-moron/ems_00021_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.477332000357142,-68.20115120035715"
ems_00022,Possibly damaged,uncertain_imagery_problem,0.25,review,/data/chips/emsr884-aoi06-moron/ems_00022_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.478597338636364,-68.19998577045455"
ems_00023,Possibly damaged,uncertain_imagery_problem,0.25,review,/data/chips/emsr884-aoi06-moron/ems_00023_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.480166584,-68.20137626200001"
ems_00024,Possibly damaged,minor_visible_damage,0.45,review,/data/chips/emsr884-aoi06-moron/ems_00024_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.482677185454547,-68.20096174636363"
ems_00025,Possibly damaged,possible_major_damage,0.4,review,/data/chips/emsr884-aoi06-moron/ems_00025_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.483409680714287,-68.20110064857143"
ems_00026,Damaged,uncertain_imagery_problem,0.35,review,/data/chips/emsr884-aoi06-moron/ems_00026_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.486764392,-68.18985268200001"
ems_00027,Possibly damaged,uncertain_imagery_problem,0.35,review,/data/chips/emsr884-aoi06-moron/ems_00027_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.487148470000001,-68.19011323333334"
ems_00028,Possibly damaged,uncertain_imagery_problem,0.35,review,/data/chips/emsr884-aoi06-moron/ems_00028_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.48778137225,-68.1901758935"
ems_00029,Damaged,minor_visible_damage,0.45,review,/data/chips/emsr884-aoi06-moron/ems_00029_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.487695903235293,-68.19791536911764"
ems_00030,Possibly damaged,uncertain_imagery_problem,0.35,deprioritize,/data/chips/emsr884-aoi06-moron/ems_00030_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.487986594385966,-68.19472735192983"
ems_00031,Possibly damaged,minor_visible_damage,0.45,review,/data/chips/emsr884-aoi06-moron/ems_00031_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.476974943703704,-68.2133318371605"
ems_00032,Possibly damaged,uncertain_imagery_problem,0.3,review,/data/chips/emsr884-aoi06-moron/ems_00032_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.47691034,-68.202476373"
ems_00033,Possibly damaged,uncertain_imagery_problem,0.35,review,/data/chips/emsr884-aoi06-moron/ems_00033_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.477246234552846,-68.22136736154471"
ems_00034,Possibly damaged,possible_major_damage,0.55,review,/data/chips/emsr884-aoi06-moron/ems_00034_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.48055823142857,-68.20324925285715"
ems_00035,Damaged,uncertain_imagery_problem,0.35,review,/data/chips/emsr884-aoi06-moron/ems_00035_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.480655935666666,-68.20225957733334"
ems_00036,Damaged,no_visible_damage,0.25,review,/data/chips/emsr884-aoi06-moron/ems_00036_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.486678382,-68.21065619999999"
ems_00037,Possibly damaged,uncertain_imagery_problem,0.25,review,/data/chips/emsr884-aoi06-moron/ems_00037_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.487052835648855,-68.20522460091604"
ems_00038,Possibly damaged,minor_visible_damage,0.45,review,/data/chips/emsr884-aoi06-moron/ems_00038_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.48761005375,-68.20607361796876"
ems_00039,Damaged,minor_visible_damage,0.35,review,/data/chips/emsr884-aoi06-moron/ems_00039_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.487622857297296,-68.20654155027027"
ems_00040,Possibly damaged,uncertain_imagery_problem,0.25,review,/data/chips/emsr884-aoi06-moron/ems_00040_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.487852586615384,-68.20301354584615"
ems_00041,Damaged,uncertain_imagery_problem,0.35,review,/data/chips/emsr884-aoi06-moron/ems_00041_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.4885518825,-68.206189575"
ems_00042,Possibly damaged,uncertain_imagery_problem,0.35,review,/data/chips/emsr884-aoi06-moron/ems_00042_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.489428506368421,-68.20575250694736"
ems_00043,Possibly damaged,minor_visible_damage,0.45,review,/data/chips/emsr884-aoi06-moron/ems_00043_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.490836332758622,-68.20297172931035"
ems_00044,Possibly damaged,uncertain_imagery_problem,25,review,/data/chips/emsr884-aoi06-moron/ems_00044_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.488590325172414,-68.19744948551724"
ems_00045,Possibly damaged,possible_major_damage,0.45,urgent_review,/data/chips/emsr884-aoi06-moron/ems_00045_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.489758839375,-68.19019855"
ems_00046,Possibly damaged,uncertain_imagery_problem,0.2,review,/data/chips/emsr884-aoi06-moron/ems_00046_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.489645115084747,-68.19484171610169"
ems_00047,Possibly damaged,uncertain_imagery_problem,low,review,/data/chips/emsr884-aoi06-moron/ems_00047_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.48996069047619,-68.19783458190476"
ems_00048,Possibly damaged,uncertain_imagery_problem,0.25,review,/data/chips/emsr884-aoi06-moron/ems_00048_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.490544233809524,-68.1971570095238"
ems_00049,Possibly damaged,no_visible_damage,0.45,review,/data/chips/emsr884-aoi06-moron/ems_00049_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.49080887711111,-68.193067588"
ems_00050,Damaged,uncertain_imagery_problem,0.35,review,/data/chips/emsr884-aoi06-moron/ems_00050_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.490869564,-68.1951515308"
ems_00051,Possibly damaged,uncertain_imagery_problem,0.25,deprioritize,/data/chips/emsr884-aoi06-moron/ems_00051_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.491160394249999,-68.19291115749999"
ems_00052,Possibly damaged,uncertain_imagery_problem,0.25,review,/data/chips/emsr884-aoi06-moron/ems_00052_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.491542442465754,-68.19319830780822"
ems_00053,Possibly damaged,uncertain_imagery_problem,0.25,review,/data/chips/emsr884-aoi06-moron/ems_00053_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.491630885000001,-68.19005795071429"
ems_00054,Possibly damaged,uncertain_imagery_problem,0.25,review,/data/chips/emsr884-aoi06-moron/ems_00054_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.492792283146066,-68.19181805022473"
ems_00055,Damaged,uncertain_imagery_problem,0.25,review,/data/chips/emsr884-aoi06-moron/ems_00055_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.4924885275,-68.19583575769231"
ems_00056,Possibly damaged,uncertain_imagery_problem,0.25,review,/data/chips/emsr884-aoi06-moron/ems_00056_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.495793310465116,-68.19638353186046"
ems_00057,Possibly damaged,possible_major_damage,0.45,review,/data/chips/emsr884-aoi06-moron/ems_00057_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.496146473,-68.19762075075"
ems_00058,Possibly damaged,uncertain_imagery_problem,0.85,review,/data/chips/emsr884-aoi06-moron/ems_00058_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.4967816225,-68.19129227916666"
ems_00059,Destroyed,uncertain_imagery_problem,low,urgent_review,/data/chips/emsr884-aoi06-moron/ems_00059_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.497754544285714,-68.19367143571428"
ems_00060,Damaged,uncertain_imagery_problem,0.2,review,/data/chips/emsr884-aoi06-moron/ems_00060_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.498028148666666,-68.19203561733333"
ems_00061,Possibly damaged,uncertain_imagery_problem,0.3,review,/data/chips/emsr884-aoi06-moron/ems_00061_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.4986753835,-68.1932605615"
ems_00062,Possibly damaged,possible_major_damage,0.45,review,/data/chips/emsr884-aoi06-moron/ems_00062_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.500573266382979,-68.19483802787234"
ems_00063,Damaged,minor_visible_damage,0.35,review,/data/chips/emsr884-aoi06-moron/ems_00063_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.514804002380952,-68.19092589904761"
ems_00064,Damaged,minor_visible_damage,0.45,review,/data/chips/emsr884-aoi06-moron/ems_00064_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.515081885454546,-68.19051181272727"
ems_00065,Damaged,possible_major_damage,0.45,review,/data/chips/emsr884-aoi06-moron/ems_00065_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.515611846,-68.19095357"
ems_00066,Damaged,minor_visible_damage,0.35,review,/data/chips/emsr884-aoi06-moron/ems_00066_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.515554698947367,-68.1897028131579"
ems_00067,Possibly damaged,uncertain_imagery_problem,0.1,review,/data/chips/emsr884-aoi06-moron/ems_00067_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.48344159,-68.16809599"
ems_00068,Possibly damaged,uncertain_imagery_problem,0.15,urgent_review,/data/chips/emsr884-aoi06-moron/ems_00068_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.490985396212121,-68.175806345"
ems_00069,Damaged,uncertain_imagery_problem,0.92,review,/data/chips/emsr884-aoi06-moron/ems_00069_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.492202242941177,-68.17368719470588"
ems_00070,Possibly damaged,uncertain_imagery_problem,0.85,urgent_review,/data/chips/emsr884-aoi06-moron/ems_00070_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.49255338652174,-68.17733688782609"
ems_00071,Possibly damaged,uncertain_imagery_problem,0.1,urgent_review,/data/chips/emsr884-aoi06-moron/ems_00071_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.493328478,-68.176391685"
ems_00072,Possibly damaged,uncertain_imagery_problem,low,urgent_review,/data/chips/emsr884-aoi06-moron/ems_00072_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.493575884285715,-68.17549873571429"
ems_00073,Possibly damaged,uncertain_imagery_problem,0.15,urgent_review,/data/chips/emsr884-aoi06-moron/ems_00073_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.496196937,-68.17889625699999"
ems_00074,Possibly damaged,uncertain_imagery_problem,0.15,review,/data/chips/emsr884-aoi06-moron/ems_00074_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.49694115875,-68.17805627375"
ems_00075,Possibly damaged,uncertain_imagery_problem,0.15,urgent_review,/data/chips/emsr884-aoi06-moron/ems_00075_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.497877916153847,-68.17630604538462"
ems_00076,Possibly damaged,uncertain_imagery_problem,0.85,urgent_review,/data/chips/emsr884-aoi06-moron/ems_00076_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.498769068095239,-68.17737736857143"
ems_00077,Possibly damaged,no_visible_damage,0.45,deprioritize,/data/chips/emsr884-aoi06-moron/ems_00077_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.487071220625,-68.188939274375"
ems_00078,Possibly damaged,uncertain_imagery_problem,0.25,review,/data/chips/emsr884-aoi06-moron/ems_00078_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.487173036875,-68.18909846375"
ems_00079,Possibly damaged,uncertain_imagery_problem,0.3,review,/data/chips/emsr884-aoi06-moron/ems_00079_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.487252945263158,-68.18931907"
ems_00080,Possibly damaged,minor_visible_damage,0.35,review,/data/chips/emsr884-aoi06-moron/ems_00080_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.487759043,-68.18844132699999"
ems_00081,Damaged,uncertain_imagery_problem,0.35,review,/data/chips/emsr884-aoi06-moron/ems_00081_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.490137507777778,-68.18530875444445"
ems_00082,Possibly damaged,uncertain_imagery_problem,0.45,review,/data/chips/emsr884-aoi06-moron/ems_00082_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.491377188235294,-68.18634608294118"
ems_00083,Possibly damaged,uncertain_imagery_problem,0.2,review,/data/chips/emsr884-aoi06-moron/ems_00083_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.493038993999999,-68.180182024"
ems_00084,Possibly damaged,uncertain_imagery_problem,0.15,review,/data/chips/emsr884-aoi06-moron/ems_00084_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.4947753325,-68.18909268145833"
ems_00085,Damaged,uncertain_imagery_problem,0.2,urgent_review,/data/chips/emsr884-aoi06-moron/ems_00085_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.49525655025,-68.178881475"
ems_00086,Damaged,uncertain_imagery_problem,0.15,urgent_review,/data/chips/emsr884-aoi06-moron/ems_00086_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.495745287692309,-68.18277354153847"
ems_00087,Possibly damaged,uncertain_imagery_problem,low,review,/data/chips/emsr884-aoi06-moron/ems_00087_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.498271463333333,-68.18156839166667"
ems_00088,Possibly damaged,uncertain_imagery_problem,0.25,review,/data/chips/emsr884-aoi06-moron/ems_00088_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.498175757999999,-68.18494679775"
ems_00089,Possibly damaged,uncertain_imagery_problem,0.2,urgent_review,/data/chips/emsr884-aoi06-moron/ems_00089_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.498592875128205,-68.18624826333334"
ems_00090,Possibly damaged,uncertain_imagery_problem,low,review,/data/chips/emsr884-aoi06-moron/ems_00090_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.498727986,-68.18667960924999"
ems_00091,Possibly damaged,uncertain_imagery_problem,0.85,review,/data/chips/emsr884-aoi06-moron/ems_00091_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.498714184210527,-68.17937722526317"
ems_00092,Damaged,uncertain_imagery_problem,0.15,review,/data/chips/emsr884-aoi06-moron/ems_00092_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.498829778947368,-68.17917188315789"
ems_00093,Possibly damaged,uncertain_imagery_problem,0.2,review,/data/chips/emsr884-aoi06-moron/ems_00093_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.499306440714287,-68.18312345285715"
ems_00094,Possibly damaged,uncertain_imagery_problem,0.35,review,/data/chips/emsr884-aoi06-moron/ems_00094_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.499712361111111,-68.18541656555556"
ems_00095,Damaged,uncertain_imagery_problem,0.25,review,/data/chips/emsr884-aoi06-moron/ems_00095_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.50012674111111,-68.1823390888889"
ems_00096,Possibly damaged,uncertain_imagery_problem,0.25,review,/data/chips/emsr884-aoi06-moron/ems_00096_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.500466959999999,-68.18196301166667"
ems_00097,Possibly damaged,uncertain_imagery_problem,0.15,review,/data/chips/emsr884-aoi06-moron/ems_00097_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.499414216976744,-68.17191397372093"
ems_00098,Possibly damaged,possible_major_damage,0.35,review,/data/chips/emsr884-aoi06-moron/ems_00098_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.500136461764706,-68.17833062647058"
ems_00099,Possibly damaged,uncertain_imagery_problem,0.15,urgent_review,/data/chips/emsr884-aoi06-moron/ems_00099_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.499927058292684,-68.17491238341464"
ems_00100,Possibly damaged,uncertain_imagery_problem,0.2,urgent_review,/data/chips/emsr884-aoi06-moron/ems_00100_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.501320602972973,-68.17415826486487"
ems_00101,Damaged,uncertain_imagery_problem,0.25,review,/data/chips/emsr884-aoi06-moron/ems_00101_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.501609566976745,-68.17606268860465"
ems_00102,Possibly damaged,uncertain_imagery_problem,low,review,/data/chips/emsr884-aoi06-moron/ems_00102_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.501303173913044,-68.17299259391304"
ems_00103,Damaged,uncertain_imagery_problem,low,review,/data/chips/emsr884-aoi06-moron/ems_00103_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.502033324285716,-68.1782196657143"
ems_00104,Possibly damaged,uncertain_imagery_problem,0.25,review,/data/chips/emsr884-aoi06-moron/ems_00104_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.502110050714284,-68.1764621025"
ems_00105,Possibly damaged,uncertain_imagery_problem,0.2,urgent_review,/data/chips/emsr884-aoi06-moron/ems_00105_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.502585003333333,-68.17503994142857"
ems_00106,Possibly damaged,uncertain_imagery_problem,0.2,review,/data/chips/emsr884-aoi06-moron/ems_00106_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.5027701975,-68.178634305"
ems_00107,Possibly damaged,uncertain_imagery_problem,0.2,review,/data/chips/emsr884-aoi06-moron/ems_00107_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.500470816818181,-68.18624010363637"
ems_00108,Possibly damaged,uncertain_imagery_problem,0.3,review,/data/chips/emsr884-aoi06-moron/ems_00108_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.500925337083332,-68.18546422749999"
ems_00109,Damaged,uncertain_imagery_problem,0.25,review,/data/chips/emsr884-aoi06-moron/ems_00109_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.5021050325,-68.18040045250001"
ems_00110,Possibly damaged,uncertain_imagery_problem,low,review,/data/chips/emsr884-aoi06-moron/ems_00110_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.50197000923077,-68.18218942230769"
ems_00111,Damaged,uncertain_imagery_problem,0.25,review,/data/chips/emsr884-aoi06-moron/ems_00111_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.503261606875,-68.18195490875"
ems_00112,Possibly damaged,uncertain_imagery_problem,low,review,/data/chips/emsr884-aoi06-moron/ems_00112_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.503956253928573,-68.18398550857142"
ems_00113,Possibly damaged,uncertain_imagery_problem,0.35,review,/data/chips/emsr884-aoi06-moron/ems_00113_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.505112017666667,-68.17998915733332"
ems_00114,Possibly damaged,minor_visible_damage,0.35,review,/data/chips/emsr884-aoi06-moron/ems_00114_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.50462433,-68.18097395999999"
ems_00115,Possibly damaged,possible_major_damage,moderate,urgent_review,/data/chips/emsr884-aoi06-moron/ems_00115_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.50483211,-68.18436217666667"
ems_00116,Damaged,uncertain_imagery_problem,0.35,review,/data/chips/emsr884-aoi06-moron/ems_00116_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.505201090238094,-68.1815486397619"
ems_00117,Possibly damaged,uncertain_imagery_problem,0.95,urgent_review,/data/chips/emsr884-aoi06-moron/ems_00117_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.503126327126436,-68.17185171229885"
ems_00118,Possibly damaged,uncertain_imagery_problem,0.2,review,/data/chips/emsr884-aoi06-moron/ems_00118_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.502929313125,-68.17490404"
ems_00119,Possibly damaged,uncertain_imagery_problem,0.25,review,/data/chips/emsr884-aoi06-moron/ems_00119_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.5042273675,-68.17651947625001"
ems_00120,Possibly damaged,no_visible_damage,0.45,review,/data/chips/emsr884-aoi06-moron/ems_00120_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.504555281666667,-68.17887606333333"
ems_00121,Possibly damaged,uncertain_imagery_problem,0.25,review,/data/chips/emsr884-aoi06-moron/ems_00121_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.504659701666666,-68.17533000833333"
ems_00122,Possibly damaged,uncertain_imagery_problem,0.15,review,/data/chips/emsr884-aoi06-moron/ems_00122_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.505870626250001,-68.17606660625"
ems_00123,Damaged,uncertain_imagery_problem,0.25,review,/data/chips/emsr884-aoi06-moron/ems_00123_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.507780651666666,-68.176860175"
ems_00124,Damaged,uncertain_imagery_problem,0.3,review,/data/chips/emsr884-aoi06-moron/ems_00124_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.508494415555555,-68.17733521111111"
ems_00125,Possibly damaged,no_visible_damage,0.45,review,/data/chips/emsr884-aoi06-moron/ems_00125_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.508890172258065,-68.17798018387097"
ems_00126,Possibly damaged,uncertain_imagery_problem,0.25,urgent_review,/data/chips/emsr884-aoi06-moron/ems_00126_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.509610958536586,-68.17699040414635"
ems_00127,Possibly damaged,minor_visible_damage,0.35,review,/data/chips/emsr884-aoi06-moron/ems_00127_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.505600396875,-68.179251621875"
ems_00128,Damaged,uncertain_imagery_problem,0.25,urgent_review,/data/chips/emsr884-aoi06-moron/ems_00128_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.511108653783783,-68.1875775945946"
ems_00129,Possibly damaged,uncertain_imagery_problem,0.35,review,/data/chips/emsr884-aoi06-moron/ems_00129_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.51481253,-68.188458052"
